reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,company
0c858e68-79f9-4bb6-8ee3-56c2a024b01f,Jjumba Husina,https://play-lh.googleusercontent.com/a-/ALV-UjUYv6IAFVug-D-kwIF5jUeo2evmYR84sNjaMlk_EUCAuPAHchKb,very fast n clean,5,0,1.0.51,2025-04-09 11:11:10,,,1.0.51,faras
b419732d-2276-4af1-b96d-8fba06d3dc0b,Atim Winnie,https://play-lh.googleusercontent.com/a-/ALV-UjXON6ijUJhEltap9iq7IUsNvh7FrRjldWzwQR0n1x19MHuyl_Io,The riders are rude and mean on top of that one abused my sister that they are so stupid 🤬 I really got disappointed about your employees and yet Faras has been my favorite and I had influenced all my friends and recommended them for Faras as their first choice. I really feel like disclosing this to them 😔😔😔I even have a screenshot of the message,2,1,1.0.51,2025-04-08 16:45:51,,,1.0.51,faras
38fabff0-8917-4402-b68a-19169d870f78,Deus byaruhanga,https://play-lh.googleusercontent.com/a-/ALV-UjUE3cokFEqC0JUTBo0-X0Ok6msaw3yS5AaPbZIJPoEK7VayjVoBOA,good care,5,0,1.0.51,2025-04-08 16:45:11,,,1.0.51,faras
018e6252-52ee-47c2-8dfd-f41c69471e62,Okema Divine,https://play-lh.googleusercontent.com/a-/ALV-UjVy2qymvxc99mVs5Pkp9wP56hwYv7RRpjQ9pJtztatlxWoBaywu,pretty awesome 😎💯,5,0,1.0.51,2025-04-08 11:07:25,,,1.0.51,faras
98246192-e890-4625-9608-5f28e6e2db66,Ketra Nabwire,https://play-lh.googleusercontent.com/a/ACg8ocLaMKvLH5ShC09W5lhmWa3eACud90SAUPoniMytfekkWAgC3g=mo,"I gave one star only because there's no rating where I can give none, I've used this app for like two weeks, today was my worst experience among the other times, this guy drove me and I realized he wasn't taking me where I was supposed to go so i told him and he told me to get off and pay him because apparently I put a wrong address which wasn't true coz I confirmed it like 5 times and he got off and was all angry, I was scared so I did, I can never recommend this app to anyone coz it's trash!!",1,1,,2025-04-06 18:00:14,,,,faras
74cbb4c0-6979-4581-b968-f8b960325de3,Ssebbale Fahad,https://play-lh.googleusercontent.com/a/ACg8ocLqXWk4K8cE3-NtzpFZ9JCnipq03lY1ic2tuFoLxi_-zfd2sw=mo,fahad good rider,5,0,1.0.51,2025-04-05 19:44:32,,,1.0.51,faras
9373d4b6-5c96-4b80-ad17-2bc9516534ca,Shaznay Angel,https://play-lh.googleusercontent.com/a/ACg8ocJ8XmhFzmT-4Pubh62fn5Bwt5tsPNGy_lDkXn7OMNyu7gnr4g=mo,"Today the driver told me to pay extra 350 shillings for ride and I didn't have the money and it was dark and raining, who really knows what that man could have done to me if I didn't money borrow the money and given it to him!? I'm saying this with all respect that Faras should do better",1,0,1.0.51,2025-04-05 19:34:51,,,1.0.51,faras
49b9141d-2ec0-4267-98c4-7e722a09ecc7,Imadeldein Mohyeldein,https://play-lh.googleusercontent.com/a-/ALV-UjXkOQ-eJn-9u_xh2F6DNYWlWnCTGynLZGGQzxO7hyOWE3Dhuz-d,helpful app,5,0,,2025-04-04 15:20:45,,,,faras
3c6758af-ec0b-4087-9e5b-c57532cabdc9,Maryam Maalim,https://play-lh.googleusercontent.com/a-/ALV-UjU9GULuRq9rmybQFfScoc_SjzPieLDrmi7cXxb6cIAtpa_PuyBN,good 👍,5,0,1.0.51,2025-04-03 19:41:46,,,1.0.51,faras
b04da4b0-56e1-4159-9bf5-c1ed5265f9a7,John,https://play-lh.googleusercontent.com/a/ACg8ocKvB1iRR0QRd9LhyVCDVDq4-7E3yipvhqvpSIoPsF0ZtIAQ6A=mo,very efficient and fast plus friendly drivers.,5,0,1.0.51,2025-04-03 08:53:07,,,1.0.51,faras
23984c1c-2fdb-4051-807e-48cd2b98841c,Robert Muhwezi,https://play-lh.googleusercontent.com/a/ACg8ocIN7EccPDFoFUvJq_UnQiJC5N_SGnzVXnF3MvlL1--mMxGDGg=mo,perfect 👍👍👍,5,0,1.0.51,2025-04-02 18:36:31,,,1.0.51,faras
0f7e7e07-c27e-41b4-94e2-945eafc4d3df,Eliud Gichuki,https://play-lh.googleusercontent.com/a-/ALV-UjXWQGS2Xf2mFjuP-Jm3Cdpqimtrwgj6eHrnYkHwXTIxUNldJZuQ,"good app, I love it.",5,0,1.0.50,2025-04-01 21:46:04,,,1.0.50,faras
20215a4f-9f9e-4619-8bf0-dfa25ff7c528,Chris bin salumu,https://play-lh.googleusercontent.com/a-/ALV-UjWF9cyU0OjzGzkqNJ_jqe5dh8Srb2M4Ekh4SGCyzdaWq-VX3w1h,best,5,0,1.0.51,2025-04-01 08:46:35,,,1.0.51,faras
b9dc060d-5e40-4907-9d9a-79e8e642d731,Sarah Given,https://play-lh.googleusercontent.com/a/ACg8ocKxAS7rfTMGs6gNUcTIfc-IyYmm7r55Rrjzc97cdhOBoJoc=mo,"First time user...sign up and ride request was super easy, fast and better price than competitors. 10/10 will use again.",5,0,4.575.10001,2025-04-28 14:11:12,,,4.575.10001,uber
92480de3-4b65-462c-8039-969f067df9da,Abhishek Bose,https://play-lh.googleusercontent.com/a-/ALV-UjVA0MOQ-94SDAa1dC0RDDo4mNyAviQXIvAago5JuLTjsMEUBaTjjQ,nice,5,0,4.574.10000,2025-04-28 14:07:07,,,4.574.10000,uber
ec84bc60-a624-407c-badd-45702f36d54b,Mukesh Garg,https://play-lh.googleusercontent.com/a/ACg8ocKIWFESaNFVaJt5bJfCZN3hcizfA4UaUU-f07qT6FZprJQfBQ=mo,lovely,5,0,4.575.10001,2025-04-28 14:05:21,,,4.575.10001,uber
d2cef443-ce33-44a7-b790-d17a38df715e,sanjay johri,https://play-lh.googleusercontent.com/a/ACg8ocLbme7HOy6gJQocbPz5pVysgdziFs-lPTxcf7tceTkWv3Xvsg=mo,good,5,0,4.575.10001,2025-04-28 14:02:38,,,4.575.10001,uber
34d4a38b-cb1c-4ffb-84d2-bebecc68737c,Zahangir Shamim,https://play-lh.googleusercontent.com/a/ACg8ocJCU3rpaNtPMpxlRRNjGv5M1KTduI_9B_vG3ZowdRChzWbp_5c=mo,great gud,4,0,,2025-04-28 14:01:31,,,,uber
e4ec9b78-2e8d-43c1-95e5-1768a26e1994,Wafa Arafat,https://play-lh.googleusercontent.com/a-/ALV-UjXDocYTAu72KzB9VF9QousWmPH9z-ALMQt7o35lRwp6r4rdxg,I like this good service,5,0,4.575.10001,2025-04-28 13:59:57,,,4.575.10001,uber
61b62f7a-4a50-41a5-a3dc-3218ac810816,Ruman Mujawar,https://play-lh.googleusercontent.com/a-/ALV-UjUWdzrXAPlY07o--MWqFiZyrhKfNaiunGFfIqET4-IlL8UiZ6yB0w,"infinite waiting time, you have to pay tips otherwise drivers won't accept the ride. and the prices after that are way too high than taking a normal cab. not recommended at all. don't use this app.",1,0,4.575.10001,2025-04-28 13:59:54,,,4.575.10001,uber
